(-1760, 0), (-1760, 1140), (0, 1536), (1760, 1140), (1760, 0)
(-1680, 0), (-1680, 1152), (0, 1764), (1680, 1152), (1680, 0)
(-1540, 0), (-1540, 1056), (0, 1617), (1540, 1056), (1540, 0)
(-1512, 0), (-1512, 1782), (0, 2016), (1512, 1782), (1512, 0)
(-1440, 0), (-1440, 1792), (0, 2392), (1440, 1792), (1440, 0)
(-1440, 0), (-1440, 1750), (0, 1920), (1440, 1750), (1440, 0)
(-1440, 0), (-1440, 1001), (0, 1769), (1440, 1001), (1440, 0)
(-1428, 0), (-1428, 1683), (0, 1904), (1428, 1683), (1428, 0)
(-1400, 0), (-1400, 960), (0, 1470), (1400, 960), (1400, 0)
(-1344, 0), (-1344, 1584), (0, 1792), (1344, 1584), (1344, 0)
(-1320, 0), (-1320, 1771), (0, 2475), (1320, 1771), (1320, 0)
(-1320, 0), (-1320, 855), (0, 1152), (1320, 855), (1320, 0)
(-1296, 0), (-1296, 1575), (0, 1728), (1296, 1575), (1296, 0)
(-1260, 0), (-1260, 2233), (0, 2553), (1260, 2233), (1260, 0)
(-1260, 0), (-1260, 1568), (0, 2093), (1260, 1568), (1260, 0)
(-1260, 0), (-1260, 1241), (0, 2025), (1260, 1241), (1260, 0)
(-1260, 0), (-1260, 1485), (0, 1680), (1260, 1485), (1260, 0)
(-1260, 0), (-1260, 1344), (0, 1539), (1260, 1344), (1260, 0)
(-1260, 0), (-1260, 864), (0, 1323), (1260, 864), (1260, 0)
(-1200, 0), (-1200, 2380), (0, 2880), (1200, 2380), (1200, 0)
(-1200, 0), (-1200, 1610), (0, 2250), (1200, 1610), (1200, 0)
(-1176, 0), (-1176, 1386), (0, 1568), (1176, 1386), (1176, 0)
(-1152, 0), (-1152, 1400), (0, 1536), (1152, 1400), (1152, 0)
(-1140, 0), (-1140, 2261), (0, 2736), (1140, 2261), (1140, 0)
(-1120, 0), (-1120, 2070), (0, 2322), (1120, 2070), (1120, 0)
(-1120, 0), (-1120, 1938), (0, 2322), (1120, 1938), (1120, 0)
(-1120, 0), (-1120, 768), (0, 1176), (1120, 768), (1120, 0)
(-1092, 0), (-1092, 1287), (0, 1456), (1092, 1287), (1092, 0)
(-1080, 0), (-1080, 2142), (0, 2592), (1080, 2142), (1080, 0)
(-1080, 0), (-1080, 1449), (0, 2025), (1080, 1449), (1080, 0)
(-1080, 0), (-1080, 1344), (0, 1794), (1080, 1344), (1080, 0)
(-1071, 0), (-1071, 456), (0, 728), (1071, 456), (1071, 0)
(-1056, 0), (-1056, 1820), (0, 3080), (1056, 1820), (1056, 0)
(-1040, 0), (-1040, 924), (0, 1431), (1040, 924), (1040, 0)
(-1020, 0), (-1020, 2023), (0, 2448), (1020, 2023), (1020, 0)
(-1008, 0), (-1008, 2200), (0, 2494), (1008, 2200), (1008, 0)
(-1008, 0), (-1008, 1188), (0, 1344), (1008, 1188), (1008, 0)
(-1008, 0), (-1008, 1225), (0, 1344), (1008, 1225), (1008, 0)
(-980, 0), (-980, 672), (0, 1029), (980, 672), (980, 0)
(-960, 0), (-960, 2912), (0, 3128), (960, 2912), (960, 0)
(-960, 0), (-960, 1904), (0, 2304), (960, 1904), (960, 0)
(-960, 0), (-960, 1288), (0, 1800), (960, 1288), (960, 0)
(-935, 0), (-935, 2736), (0, 3552), (935, 2736), (935, 0)
(-924, 0), (-924, 1089), (0, 1232), (924, 1089), (924, 0)
(-910, 0), (-910, 2112), (0, 3120), (910, 2112), (910, 0)
(-900, 0), (-900, 1785), (0, 2160), (900, 1785), (900, 0)
(-900, 0), (-900, 1120), (0, 1495), (900, 1120), (900, 0)
(-880, 0), (-880, 2541), (0, 3465), (880, 2541), (880, 0)
(-880, 0), (-880, 570), (0, 768), (880, 570), (880, 0)
(-864, 0), (-864, 1050), (0, 1152), (864, 1050), (864, 0)
(-840, 0), (-840, 1925), (0, 3627), (840, 1925), (840, 0)
(-840, 0), (-840, 2052), (0, 3627), (840, 2052), (840, 0)
(-840, 0), (-840, 2635), (0, 2880), (840, 2635), (840, 0)
(-840, 0), (-840, 2548), (0, 2737), (840, 2548), (840, 0)
(-840, 0), (-840, 2162), (0, 2450), (840, 2162), (840, 0)
(-840, 0), (-840, 1666), (0, 2016), (840, 1666), (840, 0)
(-840, 0), (-840, 1127), (0, 1575), (840, 1127), (840, 0)
(-840, 0), (-840, 990), (0, 1120), (840, 990), (840, 0)
(-840, 0), (-840, 896), (0, 1026), (840, 896), (840, 0)
(-840, 0), (-840, 576), (0, 882), (840, 576), (840, 0)
